10,rhc,9.0, 34,sa,9.0, 161,ga,9.0, 234
20,rhc,18.0, 19,sa,19.0, 137,ga,18.0, 188
30,rhc,23.0, 17,sa,29.0, 139,ga,27.0, 187
40,rhc,32.0, 42,sa,39.0, 165,ga,37.0, 215
50,rhc,40.0, 22,sa,49.0, 147,ga,47.0, 227
60,rhc,45.0, 26,sa,59.0, 152,ga,53.0, 212
70,rhc,56.0, 29,sa,69.0, 159,ga,63.0, 219
80,rhc,60.0, 30,sa,79.0, 161,ga,67.0, 226
90,rhc,73.0, 37,sa,89.0, 183,ga,76.0, 252
100,rhc,79.0, 38,sa,99.0, 181,ga,90.0, 252
110,rhc,86.0, 42,sa,109.0, 185,ga,93.0, 262
120,rhc,93.0, 45,sa,118.0, 193,ga,105.0, 282
130,rhc,103.0, 54,sa,129.0, 206,ga,111.0, 293
140,rhc,113.0, 59,sa,138.0, 218,ga,119.0, 321
150,rhc,120.0, 61,sa,147.0, 237,ga,131.0, 340
160,rhc,126.0, 64,sa,158.0, 225,ga,131.0, 329
170,rhc,137.0, 65,sa,168.0, 233,ga,135.0, 342
180,rhc,148.0, 72,sa,178.0, 241,ga,146.0, 359
190,rhc,156.0, 78,sa,187.0, 256,ga,156.0, 374
10,rhc,6.0, 12,sa,9.0, 123,ga,9.0, 164
20,rhc,16.0, 15,sa,19.0, 133,ga,18.0, 174
30,rhc,24.0, 17,sa,29.0, 135,ga,28.0, 182
40,rhc,32.0, 18,sa,39.0, 142,ga,37.0, 191
50,rhc,41.0, 21,sa,49.0, 148,ga,45.0, 200
60,rhc,46.0, 25,sa,59.0, 149,ga,57.0, 205
70,rhc,55.0, 28,sa,69.0, 161,ga,65.0, 220
80,rhc,64.0, 30,sa,79.0, 163,ga,70.0, 229
90,rhc,76.0, 34,sa,89.0, 178,ga,81.0, 245
100,rhc,85.0, 38,sa,98.0, 176,ga,84.0, 248
110,rhc,84.0, 42,sa,109.0, 184,ga,95.0, 262
120,rhc,98.0, 47,sa,118.0, 191,ga,101.0, 273
130,rhc,108.0, 52,sa,129.0, 207,ga,109.0, 300
140,rhc,106.0, 58,sa,138.0, 216,ga,115.0, 311
150,rhc,124.0, 62,sa,149.0, 227,ga,121.0, 322
160,rhc,128.0, 65,sa,158.0, 234,ga,136.0, 341
170,rhc,140.0, 69,sa,168.0, 239,ga,140.0, 348
180,rhc,150.0, 70,sa,179.0, 242,ga,149.0, 357
190,rhc,158.0, 82,sa,188.0, 267,ga,154.0, 388
10,rhc,7.0, 12,sa,9.0, 129,ga,9.0, 167
20,rhc,13.0, 13,sa,19.0, 134,ga,18.0, 174
30,rhc,23.0, 16,sa,29.0, 140,ga,28.0, 193
40,rhc,34.0, 21,sa,39.0, 149,ga,37.0, 204
50,rhc,35.0, 22,sa,49.0, 152,ga,45.0, 210
